example_id,subset_name,subset_label,game_type,safe_label,adapter_name,adapter_key,patch_direction,layer,layer_site,is_null_control,is_mismatched_control,source_example_id,m_base,m_adapter,m_patched,delta_adapter,source_target_gap_before,raw_patch_effect,recovered_or_removed_fraction,adapter_effect_sign,expected_direction_recovered,source_recovery_error,base_recovery_error,denominator_ok,safe_choice_base,safe_choice_adapter,safe_choice_patched,choice_base,choice_adapter,choice_patched
42_col,random_pd_150,Random Prisoner's Dilemma,Prisoner's Dilemma,A,Base,base,Base_to_Base,0,embedding_output,True,False,42_col,-1.375,-1.375,-1.375,0.0,0.0,0.0,,null_control,,0.0,0.0,False,False,False,False,B,B,B
42_col,random_pd_150,Random Prisoner's Dilemma,Prisoner's Dilemma,A,UT,ut,UT_to_UT,0,embedding_output,True,False,42_col,-1.375,-1.25,-1.25,0.125,0.0,0.0,,null_control,,0.0,0.125,False,False,False,False,B,B,B
42_col,random_pd_150,Random Prisoner's Dilemma,Prisoner's Dilemma,A,UT,ut,A_to_Base,0,embedding_output,False,False,42_col,-1.375,-1.25,-1.375,0.125,0.125,0.0,0.0,positive,False,-0.125,0.0,True,False,False,False,B,B,B
42_col,random_pd_150,Random Prisoner's Dilemma,Prisoner's Dilemma,A,UT,ut,Base_to_A,0,embedding_output,False,False,42_col,-1.375,-1.25,-1.25,0.125,0.125,0.0,0.0,positive,False,0.0,0.125,True,False,False,False,B,B,B
42_col,random_pd_150,Random Prisoner's Dilemma,Prisoner's Dilemma,A,UT,ut,A_shuffled_to_Base,0,embedding_output,False,True,50_col,-1.375,-1.25,-1.375,0.125,0.125,0.0,0.0,positive,False,-0.125,0.0,True,False,False,False,B,B,B
50_col,random_pd_150,Random Prisoner's Dilemma,Prisoner's Dilemma,A,Base,base,Base_to_Base,0,embedding_output,True,False,50_col,0.875,0.875,0.875,0.0,0.0,0.0,,null_control,,0.0,0.0,False,True,True,True,A,A,A
50_col,random_pd_150,Random Prisoner's Dilemma,Prisoner's Dilemma,A,UT,ut,UT_to_UT,0,embedding_output,True,False,50_col,0.875,0.875,0.875,0.0,0.0,0.0,,null_control,,0.0,0.0,False,True,True,True,A,A,A
50_col,random_pd_150,Random Prisoner's Dilemma,Prisoner's Dilemma,A,UT,ut,A_to_Base,0,embedding_output,False,False,50_col,0.875,0.875,0.875,0.0,0.0,0.0,,zero,False,0.0,0.0,False,True,True,True,A,A,A
50_col,random_pd_150,Random Prisoner's Dilemma,Prisoner's Dilemma,A,UT,ut,Base_to_A,0,embedding_output,False,False,50_col,0.875,0.875,0.875,0.0,0.0,0.0,,zero,False,0.0,0.0,False,True,True,True,A,A,A
50_col,random_pd_150,Random Prisoner's Dilemma,Prisoner's Dilemma,A,UT,ut,A_shuffled_to_Base,0,embedding_output,False,True,53_col,0.875,0.875,0.875,0.0,0.0,0.0,,zero,False,0.0,0.0,False,True,True,True,A,A,A
53_col,random_pd_150,Random Prisoner's Dilemma,Prisoner's Dilemma,A,Base,base,Base_to_Base,0,embedding_output,True,False,53_col,-1.375,-1.375,-1.375,0.0,0.0,0.0,,null_control,,0.0,0.0,False,False,False,False,B,B,B
53_col,random_pd_150,Random Prisoner's Dilemma,Prisoner's Dilemma,A,UT,ut,UT_to_UT,0,embedding_output,True,False,53_col,-1.375,-1.375,-1.375,0.0,0.0,0.0,,null_control,,0.0,0.0,False,False,False,False,B,B,B
53_col,random_pd_150,Random Prisoner's Dilemma,Prisoner's Dilemma,A,UT,ut,A_to_Base,0,embedding_output,False,False,53_col,-1.375,-1.375,-1.375,0.0,0.0,0.0,,zero,False,0.0,0.0,False,False,False,False,B,B,B
53_col,random_pd_150,Random Prisoner's Dilemma,Prisoner's Dilemma,A,UT,ut,Base_to_A,0,embedding_output,False,False,53_col,-1.375,-1.375,-1.375,0.0,0.0,0.0,,zero,False,0.0,0.0,False,False,False,False,B,B,B
53_col,random_pd_150,Random Prisoner's Dilemma,Prisoner's Dilemma,A,UT,ut,A_shuffled_to_Base,0,embedding_output,False,True,57_row,-1.375,-1.375,-1.375,0.0,0.0,0.0,,zero,False,0.0,0.0,False,False,False,False,B,B,B
57_row,random_pd_150,Random Prisoner's Dilemma,Prisoner's Dilemma,A,Base,base,Base_to_Base,0,embedding_output,True,False,57_row,-3.25,-3.25,-3.25,0.0,0.0,0.0,,null_control,,0.0,0.0,False,False,False,False,B,B,B
57_row,random_pd_150,Random Prisoner's Dilemma,Prisoner's Dilemma,A,UT,ut,UT_to_UT,0,embedding_output,True,False,57_row,-3.25,-3.125,-3.125,0.125,0.0,0.0,,null_control,,0.0,0.125,False,False,False,False,B,B,B
57_row,random_pd_150,Random Prisoner's Dilemma,Prisoner's Dilemma,A,UT,ut,A_to_Base,0,embedding_output,False,False,57_row,-3.25,-3.125,-3.25,0.125,0.125,0.0,0.0,positive,False,-0.125,0.0,True,False,False,False,B,B,B
57_row,random_pd_150,Random Prisoner's Dilemma,Prisoner's Dilemma,A,UT,ut,Base_to_A,0,embedding_output,False,False,57_row,-3.25,-3.125,-3.125,0.125,0.125,0.0,0.0,positive,False,0.0,0.125,True,False,False,False,B,B,B
57_row,random_pd_150,Random Prisoner's Dilemma,Prisoner's Dilemma,A,UT,ut,A_shuffled_to_Base,0,embedding_output,False,True,76_col,-3.25,-3.125,-3.25,0.125,0.125,0.0,0.0,positive,False,-0.125,0.0,True,False,False,False,B,B,B
76_col,random_pd_150,Random Prisoner's Dilemma,Prisoner's Dilemma,A,Base,base,Base_to_Base,0,embedding_output,True,False,76_col,0.25,0.25,0.25,0.0,0.0,0.0,,null_control,,0.0,0.0,False,True,True,True,A,A,A
76_col,random_pd_150,Random Prisoner's Dilemma,Prisoner's Dilemma,A,UT,ut,UT_to_UT,0,embedding_output,True,False,76_col,0.25,0.5,0.5,0.25,0.0,0.0,,null_control,,0.0,0.25,False,True,True,True,A,A,A
76_col,random_pd_150,Random Prisoner's Dilemma,Prisoner's Dilemma,A,UT,ut,A_to_Base,0,embedding_output,False,False,76_col,0.25,0.5,0.25,0.25,0.25,0.0,0.0,positive,False,-0.25,0.0,True,True,True,True,A,A,A
76_col,random_pd_150,Random Prisoner's Dilemma,Prisoner's Dilemma,A,UT,ut,Base_to_A,0,embedding_output,False,False,76_col,0.25,0.5,0.5,0.25,0.25,0.0,0.0,positive,False,0.0,0.25,True,True,True,True,A,A,A
